TicketID,CreationDate,ResolutionDate,ReleaseIndex,ReleaseID,ReleaseName,ReleaseDate
"SYNCOPE-678","2015-07-08T07:39:10.000+0000","2015-07-13T09:18:15.000+0000",24,"12329742","1.2.4","2015-05-05T00:00"
"SYNCOPE-677","2015-07-08T07:36:43.000+0000","2015-07-08T08:01:26.000+0000",24,"12329742","1.2.4","2015-05-05T00:00"
"SYNCOPE-673","2015-05-27T07:35:23.000+0000","2015-05-27T10:22:38.000+0000",22,"12329017","1.2.2","2015-01-30T00:00"
"SYNCOPE-673","2015-05-27T07:35:23.000+0000","2015-05-27T10:22:38.000+0000",23,"12329368","1.2.3","2015-03-20T00:00"
"SYNCOPE-673","2015-05-27T07:35:23.000+0000","2015-05-27T10:22:38.000+0000",24,"12329742","1.2.4","2015-05-05T00:00"
"SYNCOPE-672","2015-05-25T14:49:40.000+0000","2015-05-25T15:45:03.000+0000",24,"12329742","1.2.4","2015-05-05T00:00"
"SYNCOPE-671","2015-05-24T16:17:22.000+0000","2015-05-24T17:08:31.000+0000",24,"12329742","1.2.4","2015-05-05T00:00"
"SYNCOPE-670","2015-05-21T14:40:41.000+0000","2015-05-22T10:25:05.000+0000",24,"12329742","1.2.4","2015-05-05T00:00"
"SYNCOPE-669","2015-05-21T13:09:43.000+0000","2015-05-22T08:13:54.000+0000",24,"12329742","1.2.4","2015-05-05T00:00"
"SYNCOPE-668","2015-05-19T15:41:31.000+0000","2015-05-20T12:00:27.000+0000",24,"12329742","1.2.4","2015-05-05T00:00"
"SYNCOPE-664","2015-05-04T14:57:16.000+0000","2015-05-04T15:59:02.000+0000",23,"12329368","1.2.3","2015-03-20T00:00"
"SYNCOPE-659","2015-04-15T07:57:38.000+0000","2015-04-16T07:03:43.000+0000",23,"12329368","1.2.3","2015-03-20T00:00"
"SYNCOPE-658","2015-04-10T15:02:07.000+0000","2015-04-14T10:10:03.000+0000",23,"12329368","1.2.3","2015-03-20T00:00"
"SYNCOPE-656","2015-04-02T07:34:46.000+0000","2015-04-02T07:49:50.000+0000",23,"12329368","1.2.3","2015-03-20T00:00"
"SYNCOPE-655","2015-03-27T08:31:16.000+0000","2015-03-27T10:17:21.000+0000",23,"12329368","1.2.3","2015-03-20T00:00"
"SYNCOPE-654","2015-03-26T16:55:18.000+0000","2015-04-14T16:03:44.000+0000",23,"12329368","1.2.3","2015-03-20T00:00"
"SYNCOPE-649","2015-02-27T15:33:37.000+0000","2015-02-27T15:36:13.000+0000",22,"12329017","1.2.2","2015-01-30T00:00"
"SYNCOPE-647","2015-02-23T17:28:50.000+0000","2015-02-24T13:07:59.000+0000",22,"12329017","1.2.2","2015-01-30T00:00"
"SYNCOPE-644","2015-02-18T10:29:04.000+0000","2015-02-18T14:06:16.000+0000",22,"12329017","1.2.2","2015-01-30T00:00"
"SYNCOPE-643","2015-02-16T08:54:09.000+0000","2015-02-16T13:59:30.000+0000",18,"12326735","1.1.8","2014-07-03T00:00"
"SYNCOPE-643","2015-02-16T08:54:09.000+0000","2015-02-16T13:59:30.000+0000",22,"12329017","1.2.2","2015-01-30T00:00"
"SYNCOPE-641","2015-02-13T13:48:46.000+0000","2015-02-13T15:12:46.000+0000",22,"12329017","1.2.2","2015-01-30T00:00"
"SYNCOPE-639","2015-02-13T09:06:59.000+0000","2015-02-13T15:24:04.000+0000",21,"12328766","1.2.1","2014-11-17T00:00"
